"fin" "slice" "csa" "NA" "NA"
"Aligned_ray2_v" 105 0.062341407 0.000225566 0.000476155
"Aligned_ray2_v" 106 0.062341407 0.000225566 0.000476155
"Aligned_ray2_v" 107 0.062341407 0.000269892 0.000449821
"Aligned_ray2_v" 108 0.062341407 0.000245117 0.000672517
"Aligned_ray2_v" 109 0.062341407 0.000269892 0.000449821
"Aligned_ray3_d" 21 0.072731642 0.00045039 0.000477526
"Aligned_ray3_d" 22 0.072731642 0.00045039 0.000477526
"Aligned_ray3_d" 23 0.072731642 0.00045039 0.000477526
"Aligned_ray3_d" 24 0.072731642 0.00045039 0.000477526
"Aligned_ray3_d" 25 0.072731642 0.00045039 0.000477526
"Aligned_ray3_d" 26 0.072731642 0.00045039 0.000477526
"Aligned_ray3_d" 27 0.062341407 0.000269892 0.000449821
"Aligned_ray3_d" 28 0.072731642 0.00022205 0.001076004
"Aligned_ray3_d" 29 0.072731642 0.00022205 0.001076004
"Aligned_ray3_d" 30 0.041560938 0.000143943 0.000359857
"Aligned_ray3_d" 31 0.041560938 0.000143943 0.000359857
"Aligned_ray3_d" 32 0.031170704 4.2429e-05 0.000299435
"Aligned_ray3_d" 33 0.051951173 0.000128652 0.000609054
"Aligned_ray3_d" 34 0.062341407 0.000198774 0.000646889
"Aligned_ray3_d" 35 0.072731642 0.000335298 0.000931911
"Aligned_ray3_d" 36 0.072731642 0.000335298 0.000931911
"Aligned_ray3_d" 37 0.062341407 0.000277481 0.000622161
"Aligned_ray3_d" 38 0.083121876 0.000550979 0.000874952
"Aligned_ray3_d" 39 0.083121876 0.000521931 0.000701582
"Aligned_ray3_d" 40 0.072731642 0.00045039 0.000477526
"Aligned_ray3_d" 41 0.072731642 0.00045039 0.000477526
"Aligned_ray3_d" 42 0.051951173 0.000162244 0.000359548
"Aligned_ray3_d" 43 0.041560938 0.000143943 0.000143943
"Aligned_ray3_d" 44 0.041560938 0.000143943 0.000143943
"Aligned_ray3_d" 45 0.041560938 0.000143943 0.000143943
"Aligned_ray3_d" 46 0.051951173 0.000162244 0.000359548
"Aligned_ray3_d" 47 0.051951173 0.000162244 0.000359548
"Aligned_ray3_d" 48 0.062341407 0.000269892 0.000449821
"Aligned_ray3_d" 49 0.072731642 0.00045039 0.000477526
"Aligned_ray3_d" 50 0.072731642 0.00045039 0.000477526
"Aligned_ray3_d" 51 0.072731642 0.00045039 0.000477526
"Aligned_ray3_d" 52 0.072731642 0.00045039 0.000477526
"Aligned_ray3_d" 53 0.072731642 0.00045039 0.000477526
"Aligned_ray3_d" 54 0.051951173 0.000162244 0.000359548
"Aligned_ray3_d" 55 0.041560938 0.000143943 0.000143943
"Aligned_ray3_d" 56 0.051951173 0.000102327 0.000678561
"Aligned_ray3_d" 57 0.020780469 2.2526e-05 6.7438e-05
"Aligned_ray3_d" 58 0.041560938 0.000143943 0.000143943
"Aligned_ray3_d" 59 0.041560938 0.000143943 0.000143943
"Aligned_ray3_d" 60 0.041560938 0.000135511 0.000341299
"Aligned_ray3_d" 61 0.051951173 0.000216442 0.000521264
"Aligned_ray3_d" 62 0.051951173 0.000216442 0.000521264
"Aligned_ray3_d" 63 0.083121876 0.000395842 0.001043584
"Aligned_ray3_d" 64 0.083121876 0.000395842 0.001043584
"Aligned_ray3_d" 65 0.072731642 0.000296967 0.000816018
"Aligned_ray3_d" 66 0.062341407 0.000233907 0.000593763
