"fin" "slice" "csa" "second_moment_min" "second_moment_max"
"Aligned_ray1_v" 194 0.046 0.00011 0.000621
"Aligned_ray1_v" 195 0.047 0.000124 0.000615
"Aligned_ray1_v" 196 0.049 0.000128 0.000621
"Aligned_ray1_v" 197 0.051 0.000138 0.000541
"Aligned_ray1_v" 198 0.046 0.000115 0.000424
"Aligned_ray1_v" 199 0.048 0.000111 0.000525
"Aligned_ray1_v" 200 0.054 0.000142 0.000683
"Aligned_ray1_v" 201 0.048 0.000115 0.000621
"Aligned_ray1_v" 202 0.048 0.000109 0.000641
"Aligned_ray1_v" 203 0.049 0.000117 0.000654
"Aligned_ray1_v" 204 0.044 0.000101 0.000585
"Aligned_ray1_v" 205 0.039 7.84e-05 0.000571
"Aligned_ray1_v" 206 0.039 7.77e-05 0.000546
"Aligned_ray1_v" 207 0.039 7.86e-05 0.00057
"Aligned_ray1_v" 208 0.04 7.82e-05 0.000611
"Aligned_ray1_v" 209 0.039 7.5e-05 0.000575
"Aligned_ray1_v" 210 0.039 7.43e-05 0.000579
"Aligned_ray1_v" 211 0.039 7.86e-05 0.000593
"Aligned_ray1_v" 212 0.04 7.73e-05 0.000618
"Aligned_ray1_v" 213 0.04 7.41e-05 0.000619
"Aligned_ray1_v" 214 0.04 7.39e-05 0.000608
"Aligned_ray1_v" 215 0.039 7.04e-05 0.000591
"Aligned_ray1_v" 216 0.043 8.23e-05 0.000651
"Aligned_ray1_v" 217 0.043 8.83e-05 0.000651
"Aligned_ray1_v" 218 0.044 9.26e-05 0.000671
"Aligned_ray1_v" 219 0.043 8.37e-05 0.000627
"Aligned_ray1_v" 220 0.041 7.76e-05 6e-04
"Aligned_ray1_v" 221 0.04 7.77e-05 0.000567
"Aligned_ray1_v" 222 0.04 7.23e-05 0.000573
"Aligned_ray1_v" 223 0.039 7.14e-05 0.000563
"Aligned_ray1_v" 224 0.04 7.94e-05 0.000543
"Aligned_ray1_v" 225 0.041 8.35e-05 0.000583
"Aligned_ray1_v" 226 0.04 7.78e-05 0.000568
"Aligned_ray1_v" 227 0.041 8.17e-05 0.00058
"Aligned_ray1_v" 228 0.045 9.96e-05 0.000683
"Aligned_ray1_v" 229 0.044 9.87e-05 0.000675
"Aligned_ray1_v" 230 0.045 0.000112 0.000676
"Aligned_ray1_v" 231 0.047 0.000101 0.000722
"Aligned_ray1_v" 232 0.049 0.000106 0.00077
"Aligned_ray1_v" 233 0.047 9.82e-05 0.000678
"Aligned_ray1_v" 234 0.049 0.000109 0.00062
"Aligned_ray1_v" 235 0.052 0.000121 0.000641
"Aligned_ray1_v" 236 0.058 0.000154 0.000757
"Aligned_ray1_v" 237 0.057 0.000138 0.000756
"Aligned_ray2_d" 13 0.052 0.000181 0.000816
"Aligned_ray2_d" 14 0.051 0.000154 0.000897
"Aligned_ray2_d" 15 0.049 0.000144 0.00088
"Aligned_ray2_d" 16 0.048 0.000139 0.000812
"Aligned_ray2_d" 17 0.049 0.000141 0.000875
"Aligned_ray2_d" 18 0.051 0.000158 0.000901
"Aligned_ray2_d" 19 0.055 0.000175 0.000895
"Aligned_ray2_d" 20 0.061 0.000236 0.000995
"Aligned_ray2_d" 21 0.069 0.000285 0.001
"Aligned_ray2_d" 22 0.069 0.000265 0.001
"Aligned_ray2_d" 23 0.067 0.000259 0.001
"Aligned_ray2_d" 24 0.064 0.000238 0.000938
"Aligned_ray2_d" 25 0.06 0.00021 0.000899
"Aligned_ray2_d" 26 0.058 0.000192 0.000911
"Aligned_ray2_d" 27 0.052 0.000161 0.000846
"Aligned_ray2_d" 28 0.05 0.000151 0.000798
"Aligned_ray2_d" 29 0.054 0.000179 0.000875
"Aligned_ray2_d" 30 0.053 0.000182 0.000825
